utc_timestamp,FR_windspeed_10m,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal
2010-01-01T00:00:00Z,4.65,2.107,0,0
2010-01-01T01:00:00Z,4.72,1.95,0,0
2010-01-01T02:00:00Z,4.78,1.814,0,0
2010-01-01T03:00:00Z,4.91,1.74,0,0
2010-01-01T04:00:00Z,5.06,1.626,0,0
2010-01-01T05:00:00Z,5.29,1.433,0,0
2010-01-01T06:00:00Z,5.42,1.232,3.82754988878E-6,0.000296172450111
2010-01-01T07:00:00Z,5.43,1.055,0.0336231982763,1.87967680172
2010-01-01T08:00:00Z,5.55,1.212,1.24061499345,31.2837850066
2010-01-01T09:00:00Z,5.89,1.725,6.80898972117,84.4167102788
2010-01-01T10:00:00Z,6.1,2.254,15.4458079747,126.871792025
2010-01-01T11:00:00Z,6.19,2.678,22.6826806368,149.099519363
2010-01-01T12:00:00Z,6.23,2.915,24.0972532516,147.779846748
2010-01-01T13:00:00Z,6.1,2.922,20.1458778427,125.694622157
2010-01-01T14:00:00Z,5.57,2.605,10.8537054763,82.6729945237
2010-01-01T15:00:00Z,4.72,1.601,2.49104194047,27.9837580595
2010-01-01T16:00:00Z,4.45,0.406,0.0286840167326,0.581015983267
2010-01-01T17:00:00Z,4.35,-0.198,0,0
2010-01-01T18:00:00Z,4.15,-0.73,0,0
2010-01-01T19:00:00Z,3.93,-1.123,0,0
2010-01-01T20:00:00Z,3.72,-1.435,0,0
2010-01-01T21:00:00Z,3.58,-1.601,0,0
2010-01-01T22:00:00Z,3.48,-1.728,0,0
2010-01-01T23:00:00Z,3.42,-1.827,0,0
2010-01-02T00:00:00Z,3.42,-1.918,0,0
2010-01-02T01:00:00Z,3.43,-2.036,0,0
2010-01-02T02:00:00Z,3.46,-2.156,0,0
2010-01-02T03:00:00Z,3.44,-2.27,0,0
2010-01-02T04:00:00Z,3.36,-2.402,0,0
2010-01-02T05:00:00Z,3.29,-2.513,0,0
2010-01-02T06:00:00Z,3.22,-2.544,0.000115450710133,0.00128454928987
2010-01-02T07:00:00Z,3.28,-2.408,1.13657071358,5.81032928642
2010-01-02T08:00:00Z,3.69,-1.468,17.4729565555,50.9558434445
2010-01-02T09:00:00Z,3.97,-0.237,62.8194151169,96.2652848831
2010-01-02T10:00:00Z,4.24,0.931,113.046075252,118.337824748
2010-01-02T11:00:00Z,4.6,1.92,140.048279959,126.534520041
2010-01-02T12:00:00Z,4.69,2.427,138.635518589,123.548681411
2010-01-02T13:00:00Z,4.45,2.485,102.982090887,110.997409113
2010-01-02T14:00:00Z,3.76,1.98,53.748893073,82.259406927
2010-01-02T15:00:00Z,3.21,0.394,10.3581227009,32.3071772991
2010-01-02T16:00:00Z,3.22,-0.957,0.0984846599079,0.754615340092
2010-01-02T17:00:00Z,3.22,-1.333,0,0
2010-01-02T18:00:00Z,3.17,-1.632,0,0
2010-01-02T19:00:00Z,3.14,-1.734,0,0
2010-01-02T20:00:00Z,3.2,-1.681,0,0
2010-01-02T21:00:00Z,3.36,-1.58,0,0
2010-01-02T22:00:00Z,3.47,-1.531,0,0
